Timestamp,In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
2019/06/17 8:29:27 am CET,Faculty of Medicine,students are self funded,PTF,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/17 8:58:04 am CET,Faculty of Environmental and Life Sciences,NIHR,Research Fellow,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/17 9:00:40 am CET,Faculty of Engineering and Physical Sciences,EPSRC,Professor,Yes,5,Yes,1,No,Yes,No,"No, I do not require HPC in my research",Confident,Not heard of it,Not heard of it,2,Yes,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
2019/06/17 9:04:20 am CET,Faculty of Social Sciences,EPSRC;NERC,Researcher developer,No,2,No,,,,,,,,,,Yes,Yes,,Perfect
2019/06/17 9:04:33 am CET,Faculty of Arts and Humanities,Self funded,PhD student,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Suitable
2019/06/17 9:11:09 am CET,Faculty of Environmental and Life Sciences,BBSRC;Gerald Kerkut Trust,Teaching Fellow,Yes,4,Yes,2,No,No,No,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,2,Yes,Yes,Unsuitable,Perfect
2019/06/17 9:17:39 am CET,Faculty of Social Sciences,EPSRC,Professor,Yes,3,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),Unsuitable,Suitable
2019/06/17 9:22:58 am CET,Faculty of Social Sciences,ESRC,Research Fellow,Yes,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/17 9:27:08 am CET,Faculty of Medicine,Kay kendall leukaemia fund,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
2019/06/17 9:29:59 am CET,Faculty of Environmental and Life Sciences,NIHR,Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
2019/06/17 9:36:16 am CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,Yes,4,No,Yes,Yes,Yes,Confident,Not confident,Not confident,4,Yes,No (I'm not involved in writing funding proposals),Suitable,Unsuitable
2019/06/17 9:36:48 am CET,Faculty of Engineering and Physical Sciences,EPSRC,Research Fellow,Yes,5,Yes,4,Yes,Yes,Yes,Yes,Very confident,Confident,Confident,3,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/17 9:37:22 am CET,Faculty of Medicine,MRC,Senior medical statistician,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2019/06/17 9:43:35 am CET,Faculty of Engineering and Physical Sciences,"STFC;Nikon metrology UK, Institute for Life Sciences",PhD student,Yes,5,Yes,4,No,Yes,Yes,"No, but I would like to use IRIDIS in the future",Confident,Not confident,Not confident,1,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2019/06/17 9:52:44 am CET,Faculty of Arts and Humanities,,Associate Professor,No,1,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
2019/06/17 10:04:40 am CET,Faculty of Engineering and Physical Sciences,EPSRC,Senior Research Software Engineer,Yes,5,Yes,5,Yes,No,,"No, I do not require HPC in my research",Very confident,Confident,Very confident,4,Yes,Yes,Suitable,Suitable
