funder,raw_funders,clean_funders
NERC,NERC,NERC
EPSRC,EPSRC,EPSRC
NERC,NERC,NERC
AHRC,AHRC,AHRC
No response,No response,No response
BBSRC,BBSRC,BBSRC
STFC,STFC,STFC
Indonesian Endowmend Fund for Education,Indonesian Endowmend Fund for Education,Indonesian Endowmend Fund for Education
NERC,NERC,NERC
University of Sheffield,University of Sheffield,University of Sheffield
MRC,MRC,MRC
BBSRC,BBSRC,BBSRC
MRC,MRC,MRC
EPSRC,EPSRC,EPSRC
Grantham Centre for Sustainable Futures,Grantham Centre for Sustainable Futures,Grantham Institute
EPSRC,EPSRC,EPSRC
EPSRC,EPSRC,EPSRC
AHRC,AHRC,AHRC
BBSRC,BBSRC,BBSRC
European Research Council,European Research Council,ERC
Leverhulme Trust,Leverhulme Trust,Leverhulme Trust
ESRC,ESRC,ESRC
EPSRC,EPSRC,EPSRC
Horizon 2002 - MSCA,Horizon 2002 - MSCA,Horizon 2002 - MSCA
Portuguese Science and Technology Foundation (FCT),Portuguese Science and Technology Foundation (FCT),Portuguese Science and Technology Foundation (FCT)
BBSRC,BBSRC,BBSRC
NERC,NERC,NERC
British Heart Foundation,British Heart Foundation,British Heart Foundation
the university of sheffield,the university of sheffield,University of Sheffield
Grantham Centre for Sustainable Futures,Grantham Centre for Sustainable Futures,Grantham Institute
AHRC,AHRC,AHRC
Saudia government,Saudia government,Saudia government
GCRF,GCRF,GCRF
No response,No response,No response
No response,No response,No response
No response,No response,No response
GCRF,GCRF,GCRF
EPSRC,EPSRC,EPSRC
EPSRC,EPSRC,EPSRC
Leverhulme Trust,Leverhulme Trust,Leverhulme Trust
self-funded phd student,self-funded phd student,Self-funded
AWE,AWE,AWE
EPSRC,EPSRC,EPSRC
AHRC,AHRC,AHRC
STFC,STFC,STFC
EPSRC,EPSRC,EPSRC
BBSRC,BBSRC,BBSRC
MRC,MRC,MRC
Cancer Research UK,Cancer Research UK,Cancer Research UK
EPSRC,EPSRC,EPSRC
EPSRC,EPSRC,EPSRC
BBSRC,BBSRC,BBSRC
EPSRC,EPSRC,EPSRC
British Council,British Council,British Council
NERC,NERC,NERC
STFC,STFC,STFC
BBSRC,BBSRC,BBSRC
EPSRC,EPSRC,EPSRC
University,University,University of Sheffield
Leverhulme trust,Leverhulme trust,Leverhulme Trust
CATAPULT,CATAPULT,Catapult
AMRC membership,AMRC membership,AMRC membership
some grant funding,some grant funding,some grant funding
Self funded,Self funded,Self-funded
